code_reg,lib_reg,date,count
,Hauts-de-France,04/03/2020,65
,Grand Est,04/03/2020,38
,Ile-de-France,04/03/2020,55
,Normandie,04/03/2020,2
,Bretagne,04/03/2020,23
,Pays de la Loire,04/03/2020,7
,Centre-Val de Loire,04/03/2020,0
,Bourgogne-Franche-Comté,04/03/2020,16
,Nouvelle-Aquitaine,04/03/2020,5
,Auvergne-Rhône-Alpes,04/03/2020,49
,Corse,04/03/2020,0
,Provence-Alpes-Côte d’Azur,04/03/2020,13
,Occitanie,04/03/2020,9
,Guadeloupe,04/03/2020,0
,Martinique,04/03/2020,0
,Guyane,04/03/2020,0
,La Réunion,04/03/2020,0
,Mayotte,04/03/2020,0
,Hauts-de-France,05/03/2020,74
,Grand Est,05/03/2020,77
,Ile-de-France,05/03/2020,76
,Normandie,05/03/2020,6
,Bretagne,05/03/2020,29
,Pays de la Loire,05/03/2020,8
,Centre-Val de Loire,05/03/2020,2
,Bourgogne-Franche-Comté,05/03/2020,39
,Nouvelle-Aquitaine,05/03/2020,8
,Auvergne-Rhône-Alpes,05/03/2020,64
,Corse,05/03/2020,3
,Provence-Alpes-Côte d’Azur,05/03/2020,18
,Occitanie,05/03/2020,11
,Guadeloupe,05/03/2020,0
,Martinique,05/03/2020,0
,Guyane,05/03/2020,5
,La Réunion,05/03/2020,0
,Mayotte,05/03/2020,0
,Hauts-de-France,06/03/2020,97
,Grand Est,06/03/2020,136
,Ile-de-France,06/03/2020,89
,Normandie,06/03/2020,11
,Bretagne,06/03/2020,32
,Pays de la Loire,06/03/2020,16
,Centre-Val de Loire,06/03/2020,11
,Bourgogne-Franche-Comté,06/03/2020,78
,Nouvelle-Aquitaine,06/03/2020,11
,Auvergne-Rhône-Alpes,06/03/2020,75
,Corse,06/03/2020,3
,Provence-Alpes-Côte d’Azur,06/03/2020,26
,Occitanie,06/03/2020,18
,Guadeloupe,06/03/2020,0
,Martinique,06/03/2020,2
,Guyane,06/03/2020,5
,La Réunion,06/03/2020,0
,Mayotte,06/03/2020,0
,Hauts-de-France,07/03/2020,173
,Grand Est,07/03/2020,250
,Ile-de-France,07/03/2020,104
,Normandie,07/03/2020,11
,Bretagne,07/03/2020,40
,Pays de la Loire,07/03/2020,18
,Centre-Val de Loire,07/03/2020,16
,Bourgogne-Franche-Comté,07/03/2020,129
,Nouvelle-Aquitaine,07/03/2020,17
,Auvergne-Rhône-Alpes,07/03/2020,102
,Corse,07/03/2020,5
,Provence-Alpes-Côte d’Azur,07/03/2020,38
,Occitanie,07/03/2020,36
,Guadeloupe,07/03/2020,0
,Martinique,07/03/2020,2
,Guyane,07/03/2020,5
,La Réunion,07/03/2020,0
,Mayotte,07/03/2020,0
